Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
214,Travis Knight\knightr01,C,26,NYK,45,256,0.9,0.23800000000000002,0.019,0.34,9.3,15.6,12.5,3.0,1.1,3.5,14.1,13.5,,-0.7,0.5,-0.3,-0.049,,-8.6,0.0,-8.6,-0.4,0,0.2,1.2,0.18899999999999997,0.0,0.0,0.0,0.2,1.2,0.192,0.18899999999999997,0.2,0.4,0.5,0.4,0.8,1.2,0.1,0.1,0.2,0.2,1.0,0.6
215,Toni Kukoč\kukocto01,SF,32,TOT,65,1597,17.8,0.5529999999999999,0.27,0.275,4.7,13.5,9.1,22.7,1.6,0.5,14.5,21.5,,2.9,1.7,4.7,0.14,,3.0,0.2,3.2,2.1,19,4.2,9.0,0.473,1.1,2.4,0.446,3.2,6.5,0.48200000000000004,0.5329999999999999,1.6,2.5,0.631,1.0,3.0,4.0,3.1,0.7,0.2,1.7,1.5,11.1
215,Toni Kukoč\kukocto01,SF,32,PHI,48,979,15.3,0.523,0.23600000000000002,0.267,5.5,13.0,9.4,16.5,1.9,0.4,14.0,19.8,,1.1,1.3,2.5,0.121,,1.4,0.7,2.1,1.0,5,3.1,6.9,0.45799999999999996,0.7,1.6,0.41,2.5,5.3,0.47200000000000003,0.506,1.1,1.8,0.591,1.0,2.4,3.4,1.9,0.7,0.1,1.3,1.3,8.0
215,Toni Kukoč\kukocto01,SF,32,ATL,17,618,21.8,0.59,0.313,0.28600000000000003,3.4,14.2,8.7,32.5,1.1,0.6,15.2,24.2,,1.8,0.4,2.2,0.17,,5.5,-0.7,4.8,1.1,14,7.3,14.8,0.49200000000000005,2.2,4.6,0.48100000000000004,5.1,10.2,0.49700000000000005,0.5670000000000001,2.9,4.2,0.6809999999999999,1.1,4.6,5.7,6.2,0.8,0.3,3.0,2.1,19.7
216,Christian Laettner\laettch01,C-PF,31,TOT,78,1663,17.0,0.568,0.024,0.37,8.1,16.9,12.5,12.7,2.2,2.0,17.6,21.1,,2.5,1.8,4.3,0.124,,0.0,0.7,0.6,1.1,48,3.6,7.1,0.503,0.1,0.2,0.308,3.5,6.9,0.507,0.506,2.2,2.6,0.833,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3
216,Christian Laettner\laettch01,C,31,DAL,53,930,16.7,0.5539999999999999,0.009000000000000001,0.254,9.2,16.0,12.7,12.0,2.2,2.1,16.3,21.0,,1.3,1.3,2.6,0.134,,-0.5,1.3,0.8,0.6,35,3.1,6.1,0.511,0.0,0.1,0.33299999999999996,3.1,6.0,0.513,0.512,1.3,1.5,0.8170000000000001,1.4,2.6,4.0,1.3,0.8,0.5,1.3,3.0,7.5
216,Christian Laettner\laettch01,PF,31,WAS,25,733,17.6,0.586,0.044000000000000004,0.535,6.7,17.9,12.2,13.7,2.2,1.9,19.2,21.2,,1.2,0.5,1.7,0.11199999999999999,,0.6,-0.1,0.4,0.5,13,4.5,9.1,0.491,0.1,0.4,0.3,4.4,8.7,0.5,0.498,4.1,4.9,0.8440000000000001,1.7,4.4,6.1,2.3,1.2,0.8,2.7,3.3,13.2
217,Raef LaFrentz\lafrera01,C,24,DEN,78,2457,17.6,0.544,0.171,0.32299999999999995,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,,4.3,2.5,6.8,0.132,,0.1,0.7,0.8,1.8,74,5.0,10.4,0.47700000000000004,0.7,1.8,0.36700000000000005,4.3,8.6,0.499,0.508,2.3,3.4,0.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9
218,Trajan Langdon\langdtr01,SG,24,CLE,65,1116,11.8,0.561,0.396,0.243,1.2,8.0,4.6,11.9,1.8,0.6,13.1,16.1,,1.5,0.5,2.0,0.086,,-0.9,-0.1,-1.0,0.3,5,2.1,4.8,0.431,0.8,1.9,0.41100000000000003,1.3,2.9,0.444,0.513,1.0,1.2,0.895,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6.0
219,Dan Langhi\langhda01,SF,23,HOU,33,241,9.4,0.40299999999999997,0.01,0.293,6.4,13.1,9.8,2.8,1.5,0.3,6.7,22.9,,-0.2,0.2,-0.1,-0.013999999999999999,,-4.0,-2.3,-6.3,-0.3,0,1.1,3.0,0.374,0.0,0.0,0.0,1.1,3.0,0.37799999999999995,0.374,0.5,0.9,0.552,0.4,0.8,1.2,0.1,0.2,0.0,0.2,0.5,2.7
